company_name,high,low,last_price,prev_close,change,percent_gain
Adani Enterpris,"2,222.15","1,840.85","2,164.25","1,802.95",361.3,20.04
One 97 Paytm,698.00,614.00,675.95,588.60,87.35,14.84
Zomato,55.30,51.10,54.30,49.35,4.95,10.03
Symphony,"1,126.60",953.00,"1,047.85",965.25,82.6,8.56
Adani Ports,605.00,563.00,599.25,553.15,46.1,8.33
PB Fintech,492.80,450.10,481.75,451.50,30.25,6.7
Aurobindo Pharm,450.70,415.50,445.05,418.65,26.4,6.31
CreditAccess Gr,988.00,945.00,956.60,901.35,55.25,6.13
Gujarat Fluoro,"2,965.00","2,788.55","2,950.85","2,782.05",168.8,6.07
Nuvoco Vistas,387.55,358.10,382.45,360.65,21.8,6.04
Elgi Equipments,429.00,398.40,425.00,400.85,24.15,6.02
Max Financial,761.10,712.50,757.10,714.20,42.9,6.01
HDFC Life,510.30,483.50,508.55,482.95,25.6,5.3
FSN E-Co Nykaa,148.10,140.00,146.30,139.10,7.2,5.18
Sonata,642.70,607.35,641.50,610.70,30.8,5.04
Adani Trans,"1,314.80","1,271.75","1,314.80","1,252.20",62.6,5
Adani Wilmar,418.80,415.00,418.80,398.90,19.9,4.99
Intellect Desig,464.35,434.90,461.85,441.20,20.65,4.68
PNB Housing Fin,589.70,558.10,582.65,556.85,25.8,4.63
Thermax,"2,159.00","2,034.10","2,090.50","1,999.55",90.95,4.55
Motherson SWI,53.95,50.35,53.65,51.35,2.3,4.48
J. K. Cement,"2,763.00","2,642.00","2,752.65","2,635.35",117.3,4.45
SUMITOMO,456.90,435.00,454.85,435.70,19.15,4.4
KPR Mill,561.00,527.55,559.40,536.05,23.35,4.36
Godfrey Phillip,"1,863.00","1,777.30","1,852.75","1,776.35",76.4,4.3
L&T Finance,93.65,89.35,93.35,89.55,3.8,4.24
Ramco Cements,735.70,701.15,730.35,701.20,29.15,4.16
NLC India,78.45,74.50,77.70,74.65,3.05,4.09
Jindal Steel,595.75,570.35,593.20,570.25,22.95,4.02
Devyani Int,161.65,153.50,158.95,153.05,5.9,3.85
Guj State Petro,270.50,258.35,268.95,259.20,9.75,3.76
NIIT,336.00,322.55,333.20,321.15,12.05,3.75
GNFC,542.15,511.45,539.40,520.15,19.25,3.7
Alkem Lab,"3,185.00","3,051.50","3,180.80","3,069.55",111.25,3.62
PI Industries,"3,175.00","3,042.00","3,154.05","3,044.65",109.4,3.59
Birlasoft,288.40,279.00,287.65,277.70,9.95,3.58
Swan Energy,284.00,261.20,276.55,267.35,9.2,3.44
IGL,437.20,418.85,436.05,421.90,14.15,3.35
Fine Organics,"5,153.60","4,975.05","5,116.60","4,955.40",161.2,3.25
Equitas Bank,56.20,53.50,55.75,54.00,1.75,3.24
Dhani Services,34.90,32.90,33.80,32.75,1.05,3.21
Lupin,778.50,742.00,775.30,751.35,23.95,3.19
IFB Industries,835.00,800.00,830.10,804.60,25.5,3.17
Bank of India,80.90,77.70,80.45,78.00,2.45,3.14
GlaxoSmithKline,"1,283.00","1,239.05","1,279.00","1,240.15",38.85,3.13
KPIT Tech,810.00,778.25,803.20,778.85,24.35,3.13
Bajaj Finance,"6,377.00","6,162.80","6,351.65","6,160.55",191.1,3.1
Polyplex Corp,"1,540.00","1,484.00","1,529.70","1,484.00",45.7,3.08
Go Fashion,"1,065.00","1,010.00","1,052.45","1,021.55",30.9,3.02
Info Edge,"3,818.00","3,682.00","3,787.45","3,676.55",110.9,3.02
Oil India,233.35,226.10,231.75,225.00,6.75,3
Metropolis,"1,288.95","1,237.25","1,287.15","1,249.75",37.4,2.99
BASF,"2,360.00","2,289.45","2,355.00","2,287.10",67.9,2.97
Dalmia Bharat,"1,929.00","1,875.80","1,907.60","1,853.00",54.6,2.95
SBI Life Insura,"1,172.00","1,135.15","1,164.50","1,131.75",32.75,2.89
TCI Express,"1,517.85","1,436.50","1,488.95","1,447.15",41.8,2.89
IOB,27.25,26.20,26.90,26.15,0.75,2.87
Zensar Tech,257.30,244.05,252.25,245.30,6.95,2.83
L&T Technology,"3,555.00","3,465.05","3,543.90","3,446.40",97.5,2.83
AstraZeneca,"3,344.00","3,215.95","3,333.45","3,241.90",91.55,2.82
India Cements,194.75,189.60,193.30,188.00,5.3,2.82
Petronet LNG,225.40,219.40,224.85,218.75,6.1,2.79
Vinati Organics,"1,987.85","1,890.45","1,941.70","1,889.35",52.35,2.77
HUDCO,47.75,45.65,47.15,45.90,1.25,2.72
LIC Housing Fin,390.90,374.05,386.25,376.10,10.15,2.7
Biocon,245.45,235.60,244.10,237.75,6.35,2.67
Suprajit Eng,342.00,330.15,339.75,331.05,8.7,2.63
LTIMindtree,"4,727.95","4,617.30","4,714.70","4,594.25",120.45,2.62
Havells India,"1,235.00","1,196.05","1,230.30","1,198.95",31.35,2.61
Cyient,928.80,891.10,909.95,886.90,23.05,2.6
Century,655.90,640.00,653.15,636.80,16.35,2.57
SAIL,84.80,82.30,84.55,82.45,2.1,2.55
Poly Medicure,895.75,863.20,890.70,868.70,22,2.53
UltraTechCement,"7,293.75","7,114.00","7,250.35","7,071.80",178.55,2.52
JSW Steel,736.00,712.55,731.95,714.10,17.85,2.5
UNO Minda,511.60,489.10,507.10,494.80,12.3,2.49
Laurus Labs,340.60,327.00,338.55,330.35,8.2,2.48
Infibeam Avenue,17.25,16.10,16.60,16.20,0.4,2.47
Vardhman Text,302.50,291.55,301.80,294.55,7.25,2.46
Balkrishna Ind,"2,350.00","2,258.00","2,329.70","2,273.95",55.75,2.45
Chola Fin Hold,649.00,624.60,644.95,629.55,15.4,2.45
Gland,"1,404.60","1,272.05","1,338.55","1,306.85",31.7,2.43
ICICI Prudentia,440.25,425.00,436.40,426.05,10.35,2.43
Alok Industries,13.00,12.60,12.90,12.60,0.3,2.38
Sona BLW,473.50,458.50,468.90,458.00,10.9,2.38
Rail Vikas,75.75,71.00,73.55,71.85,1.7,2.37
Ajanta Pharma,"1,224.95","1,190.00","1,220.20","1,192.20",28,2.35
Delta Corp,195.00,185.65,193.75,189.30,4.45,2.35
Indiabulls Hsg,120.75,116.20,120.15,117.40,2.75,2.34
Hind Copper,109.15,104.90,108.25,105.80,2.45,2.32
Shoppers Stop,665.00,641.25,663.35,648.40,14.95,2.31
Shree Renuka,48.15,46.30,47.75,46.70,1.05,2.25
Gujarat Gas,482.00,467.85,480.00,469.55,10.45,2.23
KNR Construct,267.40,257.20,265.65,259.85,5.8,2.23
C. E. Info Syst,"1,092.00","1,056.35","1,080.95","1,057.50",23.45,2.22
Mahanagar Gas,906.00,872.85,903.05,883.70,19.35,2.19
Deepak Nitrite,"1,834.95","1,742.15","1,813.70","1,775.00",38.7,2.18
Triveni Turbine,291.25,278.75,284.75,278.70,6.05,2.17
Chambal Fert,297.65,287.50,296.15,289.90,6.25,2.16
Granules India,292.00,284.05,291.50,285.35,6.15,2.16
NALCO,78.70,76.70,78.35,76.70,1.65,2.15
Greenpanel Ind,283.00,273.10,278.85,273.05,5.8,2.12
Rain Industries,171.50,167.45,171.10,167.55,3.55,2.12
Nippon,225.65,221.05,224.60,219.95,4.65,2.11
CCL Products,557.75,531.00,549.00,538.05,10.95,2.04
Can Fin Homes,598.50,570.50,591.65,579.80,11.85,2.04
NBCC (India),35.30,34.45,35.10,34.40,0.7,2.03
RBL Bank,167.65,163.40,166.80,163.50,3.3,2.02
Reliance,"2,359.90","2,307.00","2,351.95","2,305.90",46.05,2
Gujarat Pipavav,93.00,90.80,92.45,90.65,1.8,1.99
GMR Airports,38.90,37.90,38.80,38.05,0.75,1.97
IIFL Finance,494.20,470.55,486.85,477.45,9.4,1.97
Whirlpool,"1,284.00","1,240.00","1,278.30","1,253.85",24.45,1.95
Garware Technic,"3,194.70","3,071.00","3,169.95","3,109.80",60.15,1.93
Vedanta,315.50,309.45,314.10,308.15,5.95,1.93
Syngene Intl,563.35,545.00,561.60,550.95,10.65,1.93
AB Capital,149.30,143.50,148.40,145.60,2.8,1.92
Indigo Paints,"1,170.00","1,135.25","1,162.65","1,140.80",21.85,1.92
Cummins,"1,480.00","1,444.60","1,474.30","1,446.65",27.65,1.91
Coromandel Int,922.95,901.60,918.25,901.15,17.1,1.9
Trent,"1,240.00","1,210.00","1,236.05","1,213.15",22.9,1.89
UPL,723.80,710.00,722.65,709.25,13.4,1.89
Brigade Ent,503.00,484.30,500.30,491.05,9.25,1.88
Chola Invest.,800.40,778.55,796.05,781.40,14.65,1.87
Cochin Shipyard,498.55,486.25,494.50,485.40,9.1,1.87
Sapphire Foods,"1,269.80","1,220.05","1,258.00","1,234.95",23.05,1.87
ABB India,"3,090.00","3,009.05","3,079.45","3,023.50",55.95,1.85
Sharda Crop,489.00,465.45,484.00,475.20,8.8,1.85
Rashtriya Chem,114.80,110.05,111.45,109.45,2,1.83
Dr Lal PathLab,"1,966.00","1,910.55","1,949.70","1,914.90",34.8,1.82
GSFC,134.00,130.30,131.20,128.85,2.35,1.82
Infosys,"1,603.00","1,565.50","1,590.50","1,562.40",28.1,1.8
Transport Corp,632.00,616.85,630.80,619.90,10.9,1.76
Apollo Hospital,"4,404.30","4,302.55","4,391.25","4,315.60",75.65,1.75
Bandhan Bank,239.95,234.35,239.05,234.95,4.1,1.75
Bharat Elec,96.30,94.35,96.10,94.45,1.65,1.75
Divis Labs,"2,822.00","2,757.00","2,799.05","2,750.85",48.2,1.75
Aether Ind,904.15,877.00,895.60,880.60,15,1.7
MphasiS,"2,149.90","2,105.15","2,126.80","2,091.15",35.65,1.7
Sterlite Techno,178.80,171.20,173.85,170.95,2.9,1.7
Firstsource Sol,121.30,117.65,120.30,118.30,2,1.69
Guj Amb Exports,236.60,230.25,234.80,230.90,3.9,1.69
AAVAS Financier,"2,001.00","1,948.55","1,990.65","1,957.70",32.95,1.68
Central Bank,27.80,27.05,27.55,27.10,0.45,1.66
Quess Corp,390.20,381.10,389.55,383.20,6.35,1.66
Jindal Stainles,264.00,256.55,262.75,258.50,4.25,1.64
Dilip Buildcon,210.50,205.00,209.85,206.50,3.35,1.62
Hindalco,439.80,432.00,436.50,429.55,6.95,1.62
JSW Energy,225.85,219.15,224.00,220.45,3.55,1.61
Sheela Foam,"1,231.00","1,190.75","1,229.30","1,209.85",19.45,1.61
GMM Pfaudler,"1,604.00","1,545.00","1,569.70","1,545.10",24.6,1.59
Aster DM Health,215.90,210.20,215.20,211.90,3.3,1.56
Wipro,407.60,401.00,406.75,400.50,6.25,1.56
EPL,155.15,148.70,154.35,152.05,2.3,1.51
IRFC,30.80,29.55,30.35,29.90,0.45,1.51
Voltas,832.40,809.30,827.40,815.20,12.2,1.5
HCL Tech,"1,149.00","1,132.70","1,145.00","1,128.25",16.75,1.48
IRB Infra,286.75,281.10,283.95,279.80,4.15,1.48
Yes Bank,17.35,16.75,17.10,16.85,0.25,1.48
Jubilant Food,445.30,437.25,443.35,437.10,6.25,1.43
JK Lakshmi Cem,765.00,742.00,758.45,747.80,10.65,1.42
United Spirits,793.30,780.35,791.20,780.30,10.9,1.4
RHI Magnesita,758.00,738.15,747.50,737.20,10.3,1.4
Apollo Tyres,333.70,327.65,332.65,328.10,4.55,1.39
Motilal Oswal,699.25,682.70,697.00,687.50,9.5,1.38
Bajaj Finserv,"1,377.00","1,345.20","1,368.90","1,350.40",18.5,1.37
Bajaj Finserv,"1,377.00","1,345.20","1,368.90","1,350.40",18.5,1.37
Abbott India,"21,347.00","20,831.10","21,278.25","20,991.45",286.8,1.37
TCS,"3,539.90","3,478.05","3,520.10","3,472.55",47.55,1.37
Sundram,"1,002.55",965.35,982.80,969.80,13,1.34
Torrent Pharma,"1,559.25","1,530.30","1,556.65","1,536.10",20.55,1.34
BHEL,76.35,74.05,76.10,75.10,1,1.33
Lakshmi Machine,"11,899.95","11,624.65","11,831.80","11,678.30",153.5,1.31
TTK Prestige,770.00,746.05,764.50,754.80,9.7,1.29
Torrent Power,453.60,441.25,452.45,446.75,5.7,1.28
Shriram Finance,"1,310.80","1,290.05","1,307.65","1,291.30",16.35,1.27
